款號搭配,上架年分,季別,MainSeries,Dimension,對象,Gender,標籤類型,元素,主題類型,主題類型內容,風格,Material,花型
AB10741,2019,春秋,AB10741,上衣,女裝|,女性,襯衫|,長袖|正常|,情人節旅行日記婚禮穿搭,情人節|機場/戶外休閒穿搭|婚禮賓客穿搭|,柔美|氣質優雅|微甜女孩|,雪紡|,素面/色|
AB10752,2019,春秋,AB10752,上衣,女裝|,女性,襯衫|,長版|長袖|,年輕族群旅行日記,潮流個性風|打卡穿搭|,休閒風|,丹寧/牛仔|,拼色/配色|條紋|
AB10762,2019,夏,AB10762,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,抗暑涼夏,抗暑涼夏|,休閒風|歐美|,針織|純棉/全棉/高棉(含棉量95%以上)|,愛心|字母|拼色/配色|
AB1077,2016,春秋,AB1077,上衣,女裝|,女性,淑女上衣|,長版|七八分袖|,NULL,NULL,無印風|微甜女孩|小清新|,蕾絲|,拼色/配色|條紋|
AB10774,2019,春秋,AB10774,上衣,女裝|,女性,淑女上衣|,五分袖|正常|,抗溫差旅行日記,抗溫差|機場/戶外休閒穿搭|,簡約風|街頭風|休閒風|,純棉/全棉/高棉(含棉量95%以上)|,素面/色|
AB10781,2019,夏,AB10781,上衣,女裝|,女性,淑女上衣|,正常|短袖|,情人節旅行日記婚禮穿搭年輕族群,情人節|打卡穿搭|婚禮賓客穿搭|甜美風|,柔美|甜美風|,針織|,素面/色|
AB10786,2019,春秋,AB10786,上衣,女裝|,女性,淑女上衣|,正常|七八分袖|,旅行日記,網紅穿搭|,柔美|,蕾絲|,素面/色|
AB10798,2019,春秋,AB10798,上衣,女裝|,女性,淑女上衣|,無袖|短版|,年輕族群微性感情人節,甜美風|微性感|情人節|,微甜女孩|微性感|,棉麻|,格紋|
AB10813,2019,春秋,AB10813,上衣,女裝|,女性,連帽上衣|,長袖|正常|,上班族,輕優雅主管|,柔美|氣質優雅|,雪紡|,大印花|
AB10817,2019,春秋,AB10817,上衣,女裝|,女性,襯衫|,正常|長袖|,抗溫差,抗溫差|,小資女|OL|輕熟女|,人棉|,拼色/配色|小碎花|格紋|
AB10819,2019,春秋,AB10819,上衣,女裝|,女性,襯衫|,長袖|正常|,婚禮穿搭情人節,婚禮賓客穿搭|情人節|,小資女|微甜女孩|,雪紡|,點點|拼色/配色|
AB1082,2016,春秋,AB1082,上衣,女裝|,女性,淑女上衣|,正常|長袖|,NULL,NULL,小資女|姊姊風|OL|,雪紡|,素面/色|
AB10823,2019,夏,AB10823,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,抗暑涼夏,抗暑涼夏|,無印風|休閒風|,針織|純棉/全棉/高棉(含棉量95%以上)|,素面/色|
AB10824,2019,春秋,AB10824,上衣,女裝|,女性,T-SHIRT|,正常|七八分袖|,年輕族群雲朵朵旅行日記微性感,甜美風|雲朵朵|機場/戶外休閒穿搭|微性感|,休閒風|微甜女孩|微性感|,針織|,素面/色|
AB10827,2019,春秋,AB10827,上衣,女裝|,女性,T-SHIRT|,正常|長袖|,年輕族群情人節微性感,甜美風|情人節|微性感|,甜美風|微性感|,純棉/全棉/高棉(含棉量95%以上)|,素面/色|
AB10840,2019,夏,AB10840,上衣,女裝|,女性,淑女上衣|,五分袖|正常|,婚禮穿搭情人節年輕族群,婚禮賓客穿搭|情人節|甜美風|,柔美|氣質優雅|女神|,蕾絲|純棉/全棉/高棉(含棉量95%以上)|,素面/色|繡花|
AB10841,2019,春秋,AB10841,上衣,女裝|,女性,淑女上衣|,七八分袖|正常|,情人節,情人節|,柔美|氣質優雅|韓風|,棉麻|,素面/色|
